,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADMIN1,ISO3,ISO-ADMIN1,Physical exposure to flood,Physical exposure to drought,Natural,Political violence,Conflict probability,Human,HAZARD,Development & Deprivation,Inequality,Socio-Economic Vulnerability,Uprooted people,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Private Infrastructure,Public Infrastructure,Social Infrastructure,Infrastructure,Income and jobs,Access to Finance,Access to insurance,Financial & economic system,LACK OF COPING CAPACITY,RISK
(a-z),(a-z),(a-z),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),,(0-10),,(0-10),(0-10)
Kenya,Machakos,KEN,KE-MC,10.0,5.7,8.7,3.6,8.4,5.9,7.5,5.3,4.6,5.1,3.6,0.0,0.0,0.0,2.0,3.7,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.9
Kenya,Makueni,KEN,KE-MK,10.0,7.5,9.1,3.6,8.4,5.9,7.9,5.9,4.1,5.3,3.6,0.0,10.0,7.6,6.0,5.6,8.1,6.6,7.4,6.7,8.7,x,7.7,9.4,8.4,5.0,7.6,7.5,7.0
Kenya,Mandera,KEN,KE-MD,8.5,6.7,7.7,10.0,8.4,10.0,9.2,8.4,4.7,7.2,3.6,0.0,10.0,7.6,6.0,6.6,8.1,6.6,7.4,6.7,6.4,x,6.5,9.4,8.4,5.0,7.6,7.2,7.6
Kenya,Marsabit,KEN,KE-MB,0.0,6.8,4.2,10.0,8.4,10.0,8.3,6.4,4.7,5.8,3.6,0.0,10.0,7.6,6.0,5.9,8.1,6.6,7.4,6.7,7.0,x,6.8,9.4,8.4,5.0,7.6,7.3,7.1
Kenya,Meru,KEN,KE-ME,4.6,6.8,5.8,3.6,8.4,5.9,5.8,5.2,4.3,4.9,3.6,0.0,10.0,7.6,6.0,5.5,8.1,6.6,7.4,6.7,8.6,x,7.6,9.4,8.4,5.0,7.6,7.5,6.2
Kenya,Migori,KEN,KE-MG,10.0,6.7,8.9,1.0,8.4,5.9,7.7,6.2,5.3,5.9,3.6,0.0,0.0,0.0,2.0,4.2,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.3
Kenya,Mombasa,KEN,KE-MM,10.0,6.7,8.9,10.0,8.4,10.0,9.5,5.3,4.8,5.1,3.6,0.0,0.0,0.0,2.0,3.7,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.4
Kenya,Murang'a,KEN,KE-MU,8.2,0.0,5.5,3.6,8.4,5.9,5.7,4.3,3.7,4.1,3.6,0.0,0.0,0.0,2.0,3.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.1
Kenya,Nairobi,KEN,KE-NB,7.6,2.3,5.6,10.0,8.4,10.0,8.6,2.8,3.7,3.1,6.5,0.0,0.0,0.0,4.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.1
Kenya,Nakuru,KEN,KE-NK,8.3,3.0,6.4,6.4,8.4,6.4,6.4,5.5,5.0,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.7
